X,Y,Facies
5934259.557,5.1000000000000005,5
5934259.557,4.7,2
5934259.557,4.2,5
5934259.557,3.7,5
5934259.557,3.2,5
5934259.557,3.1,5
5934259.557,2.6,2
5934259.557,2.3000000000000003,2
5934259.557,1.8000000000000003,2
5934259.557,1.3000000000000003,2
5934259.557,0.8000000000000003,2
5934259.557,0.5,2
5934259.557,0.0,7
5934259.557,-0.5,7
5934259.557,-0.5999999999999996,7
5934259.557,-1.0999999999999996,7
5934259.557,-1.5999999999999996,7
5934259.557,-2.0999999999999996,7
5934259.557,-2.5999999999999996,7
5934259.557,-2.7,7
5934259.557,-3.2,2
5934259.557,-3.7,2
5934259.557,-4.2,2
5934259.557,-4.7,2
5934259.557,-4.8,2
5934259.557,-4.999999999999999,1
5934259.557,-5.499999999999999,2
5934259.557,-5.999999999999999,2
5934259.557,-6.499999999999999,2
5934259.557,-6.8,2
5934259.557,-6.999999999999999,5
5934259.557,-7.499999999999999,3
5934259.557,-7.999999999999999,3
5934259.557,-8.5,1
5934259.557,-9.0,1
5934259.557,-9.2,1
5934259.557,-9.7,3
5934259.557,-10.2,3
5934259.557,-10.7,3
5934259.557,-11.2,3
5934259.557,-11.5,3
5934259.557,-12.0,3
5934259.557,-12.5,3
5934259.557,-12.7,3
5934259.557,-13.2,3
5934259.557,-13.7,3
5934259.557,-13.900000000000002,3
5934259.557,-14.400000000000002,2
5934259.557,-14.900000000000002,2
5934259.557,-15.400000000000002,2
5934259.557,-15.900000000000002,2
5934259.557,-16.1,2
5934259.557,-16.6,5
5934259.557,-17.1,5
5934259.557,-17.3,5
5934259.557,-17.8,5
5934259.557,-18.3,5
5934259.557,-18.6,5
5934259.557,-19.1,5
5934259.557,-19.6,5
5934259.557,-20.1,5
5934243.564,1.5500000000000005,2
5934243.564,1.0500000000000005,2
5934243.564,0.5500000000000005,2
5934243.564,0.1500000000000003,2
5934243.564,-0.3499999999999997,7
5934243.564,-0.8499999999999996,7
5934243.564,-1.3499999999999996,7
5934243.564,-1.8499999999999996,7
5934243.564,-1.85,7
5934243.564,-2.35,2
5934243.564,-2.85,2
5934243.564,-3.35,2
5934243.564,-3.85,2
5934243.564,-4.35,2
5934243.564,-4.85,2
5934243.564,-5.15,2
5934243.564,-5.65,2
5934243.564,-6.15,6
5934243.564,-6.45,6
5934243.564,-6.65,7
5934243.564,-7.15,3
5934243.564,-7.45,3
5934243.564,-7.95,7
5934243.564,-8.45,7
5934243.564,-8.95,3
5934291.795,3.2500000000000004,5
5934291.795,2.7500000000000004,1
5934291.795,2.2500000000000004,1
5934291.795,1.8500000000000003,1
5934291.795,1.3500000000000003,1
5934291.795,0.8500000000000003,1
5934291.795,0.5500000000000007,1
5934291.795,0.05000000000000071,7
5934291.795,-0.4499999999999993,7
5934291.795,-0.9499999999999993,7
5934291.795,-1.4499999999999993,7
5934291.795,-1.9499999999999993,7
5934291.795,-2.35,7
